1	 1:2	 2:13	 3:3250	 4:76
0	 1:21	 2:2	 3:500	 4:23
0	 1:23	 2:14	 3:3500	 4:93
0	 1:11	 2:5	 3:1250	 4:38
0	 1:3	 2:16	 3:4000	 4:74
0	 1:4	 2:1	 3:250	 4:4
0	 1:11	 2:1	 3:250	 4:11
1	 1:2	 2:3	 3:750	 4:16
1	 1:2	 2:5	 3:1250	 4:47
0	 1:14	 2:3	 3:750	 4:41
0	 1:2	 2:16	 3:4000	 4:81
0	 1:4	 2:6	 3:1500	 4:52
1	 1:4	 2:4	 3:1000	 4:26
0	 1:4	 2:1	 3:250	 4:4
1	 1:2	 2:50	 3:12500	 4:98
0	 1:4	 2:5	 3:1250	 4:23
0	 1:11	 2:4	 3:1000	 4:34
0	 1:16	 2:16	 3:4000	 4:77
0	 1:11	 2:24	 3:6000	 4:64
1	 1:4	 2:17	 3:4250	 4:71
0	 1:2	 2:1	 3:250	 4:2
0	 1:2	 2:4	 3:1000	 4:26
0	 1:2	 2:4	 3:1000	 4:16
0	 1:11	 2:2	 3:500	 4:11
0	 1:4	 2:7	 3:1750	 4:62
1	 1:11	 2:17	 3:4250	 4:79
1	 1:13	 2:3	 3:750	 4:14
0	 1:11	 2:3	 3:750	 4:76
0	 1:16	 2:3	 3:750	 4:23
0	 1:14	 2:1	 3:250	 4:14
0	 1:2	 2:2	 3:500	 4:14
0	 1:9	 2:3	 3:750	 4:52
1	 1:2	 2:2	 3:500	 4:4
1	 1:4	 2:5	 3:1250	 4:16
0	 1:4	 2:2	 3:500	 4:52
0	 1:21	 2:3	 3:750	 4:40
0	 1:16	 2:7	 3:1750	 4:64
0	 1:23	 2:6	 3:1500	 4:45
0	 1:11	 2:3	 3:750	 4:37
1	 1:2	 2:7	 3:1750	 4:35
0	 1:4	 2:6	 3:1500	 4:35
0	 1:14	 2:1	 3:250	 4:14
0	 1:2	 2:3	 3:750	 4:14
0	 1:2	 2:7	 3:1750	 4:29
0	 1:10	 2:5	 3:1250	 4:38
0	 1:23	 2:5	 3:1250	 4:33
1	 1:11	 2:3	 3:750	 4:16
1	 1:2	 2:21	 3:5250	 4:52
0	 1:4	 2:2	 3:500	 4:59
0	 1:14	 2:2	 3:500	 4:29
0	 1:21	 2:1	 3:250	 4:21
0	 1:8	 2:10	 3:2500	 4:63
0	 1:16	 2:12	 3:3000	 4:50
1	 1:2	 2:41	 3:10250	 4:98
0	 1:11	 2:1	 3:250	 4:11
0	 1:21	 2:3	 3:750	 4:35
0	 1:4	 2:1	 3:250	 4:4
1	 1:11	 2:14	 3:3500	 4:73
1	 1:4	 2:5	 3:1250	 4:26
1	 1:2	 2:5	 3:1250	 4:16
0	 1:11	 2:1	 3:250	 4:11
1	 1:4	 2:2	 3:500	 4:9
0	 1:23	 2:1	 3:250	 4:23
0	 1:16	 2:1	 3:250	 4:16
0	 1:3	 2:2	 3:500	 4:23
0	 1:4	 2:7	 3:1750	 4:52
0	 1:12	 2:11	 3:2750	 4:23
1	 1:4	 2:5	 3:1250	 4:16
0	 1:11	 2:6	 3:1500	 4:41
0	 1:3	 2:5	 3:1250	 4:26
0	 1:21	 2:1	 3:250	 4:21
0	 1:14	 2:3	 3:750	 4:26
0	 1:4	 2:3	 3:750	 4:16
0	 1:2	 2:10	 3:2500	 4:52
1	 1:2	 2:1	 3:250	 4:2
0	 1:4	 2:2	 3:500	 4:4
0	 1:21	 2:7	 3:1750	 4:38
1	 1:2	 2:13	 3:3250	 4:32
0	 1:9	 2:9	 3:2250	 4:38
0	 1:23	 2:4	 3:1000	 4:52
0	 1:23	 2:1	 3:250	 4:23
0	 1:4	 2:1	 3:250	 4:4
0	 1:21	 2:3	 3:750	 4:38
1	 1:2	 2:1	 3:250	 4:2
1	 1:16	 2:7	 3:1750	 4:87
1	 1:16	 2:3	 3:750	 4:21
0	 1:21	 2:3	 3:750	 4:70
0	 1:15	 2:5	 3:1250	 4:33
0	 1:2	 2:1	 3:250	 4:2
0	 1:0	 2:2	 3:500	 4:4
0	 1:23	 2:1	 3:250	 4:23
1	 1:4	 2:16	 3:4000	 4:98
1	 1:2	 2:1	 3:250	 4:2
0	 1:11	 2:22	 3:5500	 4:98
0	 1:2	 2:2	 3:500	 4:10
